identifier,image_path,asy_path,function_type
linear_s2.43_i0.37,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s2.43_i0.37.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s2.43_i0.37.asy,linear
linear_s-0.52_i0.3,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-0.52_i0.3.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-0.52_i0.3.asy,linear
linear_s2.49_i2.78,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s2.49_i2.78.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s2.49_i2.78.asy,linear
linear_s-0.38_i-2.82,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-0.38_i-2.82.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-0.38_i-2.82.asy,linear
linear_s-1.56_i2.75,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-1.56_i2.75.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-1.56_i2.75.asy,linear
linear_s-2.25_i-4.98,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-2.25_i-4.98.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-2.25_i-4.98.asy,linear
linear_s2.41_i3.42,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s2.41_i3.42.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s2.41_i3.42.asy,linear
linear_s-0.59_i-3.83,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-0.59_i-3.83.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-0.59_i-3.83.asy,linear
linear_s-2.57_i1.6,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-2.57_i1.6.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-2.57_i1.6.asy,linear
linear_s0.57_i3.95,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s0.57_i3.95.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s0.57_i3.95.asy,linear
linear_s-0.87_i1.29,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-0.87_i1.29.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-0.87_i1.29.asy,linear
linear_s-2.61_i2.06,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-2.61_i2.06.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-2.61_i2.06.asy,linear
linear_s2.7_i3.05,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s2.7_i3.05.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s2.7_i3.05.asy,linear
linear_s1.91_i-1.97,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s1.91_i-1.97.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s1.91_i-1.97.asy,linear
linear_s1.26_i-4.66,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s1.26_i-4.66.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s1.26_i-4.66.asy,linear
linear_s0.47_i-1.38,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s0.47_i-1.38.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s0.47_i-1.38.asy,linear
linear_s1.33_i-4.06,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s1.33_i-4.06.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s1.33_i-4.06.asy,linear
linear_s2.08_i0.91,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s2.08_i0.91.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s2.08_i0.91.asy,linear
linear_s-1.95_i2.13,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-1.95_i2.13.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-1.95_i2.13.asy,linear
linear_s2.25_i2.07,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s2.25_i2.07.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s2.25_i2.07.asy,linear
linear_s-2.73_i0.95,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-2.73_i0.95.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-2.73_i0.95.asy,linear
linear_s-0.44_i4.48,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-0.44_i4.48.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-0.44_i4.48.asy,linear
linear_s-0.52_i-1.3,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-0.52_i-1.3.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-0.52_i-1.3.asy,linear
linear_s-1.02_i-4.27,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-1.02_i-4.27.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-1.02_i-4.27.asy,linear
linear_s-0.55_i-4.75,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-0.55_i-4.75.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-0.55_i-4.75.asy,linear
linear_s-1.13_i3.69,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-1.13_i3.69.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-1.13_i3.69.asy,linear
linear_s1.44_i3.48,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s1.44_i3.48.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s1.44_i3.48.asy,linear
linear_s-2.58_i2.66,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-2.58_i2.66.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-2.58_i2.66.asy,linear
linear_s-2.44_i-0.12,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-2.44_i-0.12.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-2.44_i-0.12.asy,linear
linear_s0.71_i-2.18,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s0.71_i-2.18.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s0.71_i-2.18.asy,linear
linear_s-1.5_i2.97,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-1.5_i2.97.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-1.5_i2.97.asy,linear
linear_s0.14_i-2.55,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s0.14_i-2.55.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s0.14_i-2.55.asy,linear
linear_s-2.5_i-4.77,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-2.5_i-4.77.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-2.5_i-4.77.asy,linear
linear_s2.02_i-1.46,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s2.02_i-1.46.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s2.02_i-1.46.asy,linear
linear_s0.39_i0.35,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s0.39_i0.35.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s0.39_i0.35.asy,linear
linear_s-0.71_i-0.71,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-0.71_i-0.71.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-0.71_i-0.71.asy,linear
linear_s-2.6_i-4.26,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-2.6_i-4.26.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-2.6_i-4.26.asy,linear
linear_s-2.69_i-0.7,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-2.69_i-0.7.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-2.69_i-0.7.asy,linear
linear_s-0.12_i3.55,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-0.12_i3.55.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-0.12_i3.55.asy,linear
linear_s-2.91_i-3.54,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-2.91_i-3.54.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-2.91_i-3.54.asy,linear
linear_s0.75_i1.26,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s0.75_i1.26.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s0.75_i1.26.asy,linear
linear_s-1.14_i3.19,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-1.14_i3.19.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-1.14_i3.19.asy,linear
linear_s0.89_i3.08,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s0.89_i3.08.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s0.89_i3.08.asy,linear
linear_s-2.56_i0.57,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-2.56_i0.57.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-2.56_i0.57.asy,linear
linear_s-2.65_i-3.97,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-2.65_i-3.97.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-2.65_i-3.97.asy,linear
linear_s2.72_i-1.96,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s2.72_i-1.96.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s2.72_i-1.96.asy,linear
linear_s0.54_i-2.81,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s0.54_i-2.81.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s0.54_i-2.81.asy,linear
linear_s0.46_i4.61,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s0.46_i4.61.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s0.46_i4.61.asy,linear
linear_s0.99_i0.85,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s0.99_i0.85.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s0.99_i0.85.asy,linear
linear_s0.85_i3.95,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s0.85_i3.95.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s0.85_i3.95.asy,linear
linear_s2.2_i2.36,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s2.2_i2.36.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s2.2_i2.36.asy,linear
linear_s2.63_i-0.78,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s2.63_i-0.78.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s2.63_i-0.78.asy,linear
linear_s1.97_i0.76,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s1.97_i0.76.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s1.97_i0.76.asy,linear
linear_s2.44_i-4.29,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s2.44_i-4.29.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s2.44_i-4.29.asy,linear
linear_s-2.35_i-0.41,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-2.35_i-0.41.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-2.35_i-0.41.asy,linear
linear_s-1.54_i-3.62,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-1.54_i-3.62.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-1.54_i-3.62.asy,linear
linear_s1.96_i-1.31,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s1.96_i-1.31.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s1.96_i-1.31.asy,linear
linear_s1.24_i-2.78,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s1.24_i-2.78.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s1.24_i-2.78.asy,linear
linear_s-0.05_i0.63,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-0.05_i0.63.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-0.05_i0.63.asy,linear
linear_s-2.98_i2.18,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-2.98_i2.18.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-2.98_i2.18.asy,linear
linear_s2.47_i-1.81,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s2.47_i-1.81.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s2.47_i-1.81.asy,linear
linear_s1.37_i-2.52,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s1.37_i-2.52.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s1.37_i-2.52.asy,linear
linear_s0.92_i0.78,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s0.92_i0.78.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s0.92_i0.78.asy,linear
linear_s1.52_i-2.6,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s1.52_i-2.6.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s1.52_i-2.6.asy,linear
linear_s2.69_i-4.79,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s2.69_i-4.79.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s2.69_i-4.79.asy,linear
linear_s2.64_i3.17,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s2.64_i3.17.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s2.64_i3.17.asy,linear
linear_s2.77_i-4.94,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s2.77_i-4.94.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s2.77_i-4.94.asy,linear
linear_s-2.49_i-2.35,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-2.49_i-2.35.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-2.49_i-2.35.asy,linear
linear_s1.39_i4.46,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s1.39_i4.46.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s1.39_i4.46.asy,linear
linear_s-2.97_i-1.76,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-2.97_i-1.76.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-2.97_i-1.76.asy,linear
linear_s-1.71_i1.79,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-1.71_i1.79.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-1.71_i1.79.asy,linear
linear_s2.06_i-0.27,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s2.06_i-0.27.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s2.06_i-0.27.asy,linear
linear_s-2.92_i0.25,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-2.92_i0.25.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-2.92_i0.25.asy,linear
linear_s-0.43_i-4.67,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-0.43_i-4.67.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-0.43_i-4.67.asy,linear
linear_s-2.8_i1.9,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-2.8_i1.9.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-2.8_i1.9.asy,linear
linear_s-1.66_i-0.79,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-1.66_i-0.79.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-1.66_i-0.79.asy,linear
linear_s1.0_i-1.82,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s1.0_i-1.82.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s1.0_i-1.82.asy,linear
linear_s-2.68_i-2.59,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-2.68_i-2.59.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-2.68_i-2.59.asy,linear
linear_s-1.98_i-2.76,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-1.98_i-2.76.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-1.98_i-2.76.asy,linear
linear_s2.85_i0.06,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s2.85_i0.06.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s2.85_i0.06.asy,linear
linear_s-2.96_i2.22,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-2.96_i2.22.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-2.96_i2.22.asy,linear
linear_s1.83_i3.44,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s1.83_i3.44.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s1.83_i3.44.asy,linear
linear_s2.74_i1.08,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s2.74_i1.08.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s2.74_i1.08.asy,linear
linear_s-0.44_i-4.55,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-0.44_i-4.55.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-0.44_i-4.55.asy,linear
linear_s1.95_i-2.75,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s1.95_i-2.75.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s1.95_i-2.75.asy,linear
linear_s-0.19_i4.21,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-0.19_i4.21.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-0.19_i4.21.asy,linear
linear_s2.74_i-3.47,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s2.74_i-3.47.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s2.74_i-3.47.asy,linear
linear_s0.23_i4.08,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s0.23_i4.08.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s0.23_i4.08.asy,linear
linear_s-1.29_i4.36,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-1.29_i4.36.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-1.29_i4.36.asy,linear
linear_s1.99_i-0.86,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s1.99_i-0.86.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s1.99_i-0.86.asy,linear
linear_s1.89_i0.59,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s1.89_i0.59.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s1.89_i0.59.asy,linear
linear_s0.64_i-3.53,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s0.64_i-3.53.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s0.64_i-3.53.asy,linear
linear_s-1.9_i-0.38,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-1.9_i-0.38.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-1.9_i-0.38.asy,linear
linear_s2.4_i-0.08,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s2.4_i-0.08.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s2.4_i-0.08.asy,linear
linear_s0.95_i3.09,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s0.95_i3.09.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s0.95_i3.09.asy,linear
linear_s0.93_i0.05,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s0.93_i0.05.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s0.93_i0.05.asy,linear
linear_s2.69_i-4.96,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s2.69_i-4.96.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s2.69_i-4.96.asy,linear
